country,iso3,continent,year,pop,lifeExp,gdpPercap
Croatia,HRV,Europe,2023,3859686,78.58,21423.722737391745
El Salvador,SLV,Americas,2023,6309624,72.099,5391.069261813383
Iraq,IRQ,Asia,2023,45074049,72.324,5565.126446471764
South Korea,KOR,Asia,2023,51712619,,33121.37128855084
Luxembourg,LUX,Europe,2023,666430,82.229,128678.1899428261
Ethiopia,ETH,Africa,2023,128691692,67.315,1272.0162820921057
Latvia,LVA,Europe,2023,1883710,76.19,23160.188394862824
South Africa,ZAF,Africa,2023,63212384,66.139,5976.38590858831
Denmark,DNK,Europe,2023,5946952,81.933,67967.38186855623
Spain,ESP,Europe,2023,"48,352,528",83.67,32691.04590592893
Ecuador,ECU,Americas,2023,17980083,77.392,6609.804081549568
Senegal,SEN,Africa,2023,18077573,68.683,1715.6056528819468
Gambia,GMB,Africa,2023,2697845,65.86,867.3234217652029
Belgium,BEL,Europe,2023,11779946,82.115,53668.88583997832
Eswatini,SWZ,Africa,2023,1230506,64.123,3736.5570302320816
Botswana,BWA,Africa,2023,2480244,69.163,7820.103637510159
Belarus,BLR,Europe,2023,9178298,74.434,7829.0531366062205
Uzbekistan,UZB,Asia,2023,35652307,72.388,2549.320281201754
Palau,PLW,Oceania,2023,17727,69.269,14837.295296271845
Iran,IRN,Asia,2023,90608707,77.654,4431.191306137038
Azerbaijan,AZE,Asia,2023,10153958,74.429,7125.9085836861095
Mauritius,MUS,Africa,2023,1248647,74.926,11530.182094205122
Micronesia (country),FSM,Oceania,2023,112630,67.198,4084.169404243985
Sint Maarten (Dutch part),SXM,Americas,2023,42749,76.371,37969.67608899604
Bangladesh,BGD,Asia,2023,171466990,74.672,
Belize,BLZ,Americas,2023,411106,73.566,7982.126264272475
East Timor,TLS,Asia,2023,1384286,67.689,1620.433139150154
Gabon,GAB,Africa,2023,2484789,68.337,8256.690764753379
Turkmenistan,TKM,Asia,2023,7364438,70.073,8131.962662197053
Saint Lucia,LCA,Americas,2023,179285,72.697,14055.419798223313
Nicaragua,NIC,Americas,2023,6823613,74.947,2612.8702322068466
Brazil,BRA,Americas,2023,211140729,75.848,10294.866680777985
Somalia,SOM,Africa,2023,18358615,58.816,636.2026825091255
Paraguay,PRY,Americas,2023,6844146,73.844,6276.351139199568
Ukraine,UKR,Europe,2023,"37,732,836",73.422,4737.439332331367
Iceland,ISL,Europe,2023,385663,82.691,80433.00130735179
Central African Republic,CAF,Africa,2023,5152421,57.408,495.9788971530677
Saint Kitts and Nevis,KNA,Americas,2023,46758,72.145,23034.199732903693
China,CHN,Asia,2023,1410710000,77.953,12614.060994892256
Rwanda,RWA,Africa,2023,13954471,67.785,1010.2689415936668
Sri Lanka,LKA,Asia,2023,22037000,77.483,3827.9648056055703
United Kingdom,GBR,Europe,2023,68492000,81.302,48765.29201465917
Norway,NOR,Europe,2023,5519601,83.308,87961.66905970746
Sri Lanka,LKA,Asia,2023,22037000,77.483,3827.9648056055703
Maldives,MDV,Asia,2023,525994,,12547.671646444636
Singapore,SGP,Asia,2023,5917648,83.736,84734.25592060536
Uganda,UGA,Africa,2023,48656601,68.252,1012.6659322878512
Germany,DEU,Europe,2023,83287273,81.378,53502.54434078975
Comoros,COM,Africa,2023,850387,66.777,1590.312377960413
Bahamas,BHS,Americas,2023,399440,74.552,35896.50510715001
Zambia,ZMB,Africa,2023,20723965,66.349,1358.9402874367188
Hong Kong,HKG,Asia,2023,7536100,85.511,50696.59031840462
Belize,BLZ,Americas,2023,411106,73.566,7982.126264272475
Libya,LBY,Africa,2023,7305659,69.339,6911.316617128899
New Zealand,NZL,Oceania,2023,5200000,82.088,
Saudi Arabia,SAU,Asia,2023,33702731,78.732,31676.451778739636
Algeria,DZA,Africa,2023,46164219,76.261,5196.654385677843
Jordan,JOR,Asia,2023,11439213,77.814,4442.057539157164
Vietnam,VNM,Asia,2023,100352192,74.588,4282.088517305061
Kuwait,KWT,Asia,2023,4853420,80.405,33331.593381768245
Russia,RUS,Europe,2023,143826130,73.154,14054.619115701831
Antigua and Barbuda,ATG,Americas,2023,93316,77.598,21787.10173159142
Cote d'Ivoire,CIV,Africa,2023,31165654,61.944,2528.0659570584803
Tanzania,TZA,Africa,2023,66617606,66.995,1188.2487391324748
Colombia,COL,Americas,2023,52321152,77.725,6948.244492683732
Mozambique,MOZ,Africa,2023,33635160,63.611,613.1856618654261
Slovenia,SVN,Europe,2023,2120461,81.603,32170.731463829223
Finland,FIN,Europe,2023,5583911,81.91,53759.31004202677
Haiti,HTI,Americas,2023,11637398,64.936,1705.7790545401251
Djibouti,DJI,Africa,2023,1152944,,3554.8391886837244
Bosnia and Herzegovina,BIH,Europe,2023,3185073,,8494.276069303656
Armenia,ARM,Asia,2023,2964300,75.683,8167.90966874608
Fiji,FJI,Oceania,2023,924145,67.316,5945.817529428442
Indonesia,IDN,Asia,2023,281190067,71.146,4876.314327031882
Albania,ALB,Europe,2023,2414095,79.602,9518.133238666189
Tuvalu,TUV,Oceania,2023,9816,67.105,6344.775018868904
Puerto Rico,PRI,Americas,2023,3203792,81.69,36800.85973121851
Palestine,PSE,Asia,2023,5165775,65.17,3367.606990238638
Guyana,GUY,Americas,2023,826353,70.18,20313.71842090896
Trinidad and Tobago,TTO,Americas,2023,1367510,73.49,20577.50567841632
Romania,ROU,Europe,2023,19061062,75.938,18414.63920686424
Democratic Republic of Congo,COD,Africa,2023,105789731,61.895,627.5021816909327
Montenegro,MNE,Europe,2023,623529,77.087,11875.216653127263
Laos,LAO,Asia,2023,7664993,68.964,2066.9497977695714
Hungary,HUN,Europe,2023,9592186,77.024,22141.866979927618
Bulgaria,BGR,Europe,2023,6446596,75.636,15757.833230558555
Samoa,WSM,Oceania,2023,216663,71.698,4311.305281823172
Liberia,LBR,Africa,2023,5493031,62.163,788.6356366821888
Marshall Islands,MHL,Oceania,2023,38827,66.945,7314.497643392485
Slovakia,SVK,Europe,2023,5426740,78.341,24470.23853788296
Guinea-Bissau,GNB,Africa,2023,2153339,64.085,913.2149653901809
Burundi,BDI,Africa,2023,13689450,63.651,193.00714557031424
United Arab Emirates,ARE,Asia,2023,10483751,82.909,48090.94105033911
